THÔNG TIN SP,,,,,,,,PHÂN LOẠI,GIÁ SX,TỒN KHO,,
PO92,PO92-XANH DEN-XL,PO92,XANH ĐEN,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO92,PO92-XANH DEN-XXL,PO92,XANH ĐEN,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
8,RYDER,PO95,A THANH,PHỐI,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"118,000 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO95,PO95-DEN-M,PO95,ĐEN,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO95,PO95-DEN-L,PO95,ĐEN,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO95,PO95-DEN-XL,PO95,ĐEN,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO95,PO95-DEN-XXL,PO95,ĐEN,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
9,DARUS,PO96,A THANH,PHỐI,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"118,000 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO96,PO96-BE-M,PO96,BE,M,,,,SẢN PHẨM CHỦ LỰC,,0,0 đ,
PO96,PO96-BE-L,PO96,BE,L,,,,SẢN PHẨM CHỦ LỰC,,0,0 đ,
PO96,PO96-BE-XL,PO96,BE,XL,,,,SẢN PHẨM CHỦ LỰC,,0,0 đ,
PO96,PO96-BE-XXL,PO96,BE,XXL,,,,SẢN PHẨM CHỦ LỰC,,0,0 đ,
,,,,,,,,,,,,
10,THOMAS,PO97,A BẢO,PHỐI,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"116,000 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO97,PO97-BE-M,PO97,BE,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO97,PO97-BE-L,PO97,BE,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO97,PO97-BE-XL,PO97,BE,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO97,PO97-BE-XXL,PO97,BE,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
11,TRAVIS,PO98,A BẢO,PHỐI,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"115,500 đ",439,"50,704,500 đ",1%
